time,seconds_elapsed,z,y,x
1716557800293514000,0.372513916015625,-0.049102783203125,-0.120574951171875,0.1253509521484375
1716557800304012000,0.383011962890625,-0.0650787353515625,-0.190887451171875,0.073150634765625
1716557800314510000,0.393510009765625,-0.0778656005859375,-0.2643890380859375,0.0007171630859375
1716557800325008100,0.404008056640625,-0.0980987548828125,-0.3325653076171875,-0.0930328369140625
1716557800335445000,0.414445068359375,-0.1311187744140625,-0.3677215576171875,-0.1931610107421875
1716557800345912600,0.42491259765625,-0.16094970703125,-0.3560028076171875,-0.2826385498046875
1716557800356319000,0.435319091796875,-0.171600341796875,-0.31658935546875,-0.3423004150390625
1716557800366756000,0.445756103515625,-0.1460418701171875,-0.256927490234375,-0.3668060302734375
1716557800377132000,0.456132080078125,-0.0842437744140625,-0.1866302490234375,-0.3742523193359375
1716557800387538400,0.466538330078125,-0.0064849853515625,-0.1195068359375,-0.371063232421875
1716557800397914600,0.47691455078125,0.087249755859375,-0.0619964599609375,-0.368927001953125
1716557800408260000,0.487260009765625,0.1735382080078125,-0.018310546875,-0.371063232421875
1716557800418605600,0.49760546875,0.2342681884765625,0.0115203857421875,-0.357208251953125
1716557800428950800,0.50795068359375,0.272613525390625,0.025360107421875,-0.312469482421875
1716557800439296300,0.518296142578125,0.3035125732421875,0.0115203857421875,-0.232574462890625
1716557800449611300,0.528611328125,0.3439788818359375,-0.03216552734375,-0.128173828125
1716557800459926300,0.53892626953125,0.4036407470703125,-0.0928802490234375,-0.041900634765625
1716557800470210600,0.54921044921875,0.4920501708984375,-0.157867431640625,-0.0077972412109375
1716557800480525600,0.559525634765625,0.603912353515625,-0.20367431640625,-0.0248565673828125
1716557800490810000,0.56981005859375,0.718963623046875,-0.20367431640625,-0.0695953369140625
1716557800501064000,0.58006396484375,0.80950927734375,-0.181304931640625,-0.1239166259765625
1716557800511348500,0.590348388671875,0.864898681640625,-0.167449951171875,-0.186767578125
1716557800521602300,0.600602294921875,0.8851470947265625,-0.16851806640625,-0.233642578125
1716557800531856100,0.610856201171875,0.876617431640625,-0.1631927490234375,-0.232574462890625
1716557800542110200,0.621110107421875,0.855316162109375,-0.177032470703125,-0.1942291259765625
1716557800552364000,0.631364013671875,0.834014892578125,-0.1834259033203125,-0.1249847412109375
1716557800562587400,0.64158740234375,0.82122802734375,-0.1504058837890625,0.00604248046875
1716557800572810800,0.651810791015625,0.8233489990234375,-0.1269683837890625,0.2063140869140625
1716557800583064600,0.662064697265625,0.8499908447265625,-0.1599884033203125,0.4012603759765625
1716557800593288200,0.6722880859375,0.9149627685546875,-0.0683746337890625,0.517364501953125
1716557800603480800,0.682480712890625,0.968231201171875,-0.157867431640625,0.56744384765625
1716557800613704400,0.692704345703125,0.8617095947265625,-0.693695068359375,0.7059173583984375
1716557800623927800,0.702927734375,0.52081298828125,-0.1365509033203125,1.24920654296875
1716557800634120700,0.71312060546875,0.192718505859375,-0.0800933837890625,1.6220550537109375
1716557800644313300,0.723313232421875,0.2225494384765625,-0.5967559814453125,1.1522674560546875
1716557800654537000,0.733536865234375,0.1501007080078125,-0.0161895751953125,0.9253692626953125
1716557800664729600,0.7437294921875,0.2236175537109375,0.2171173095703125,0.57489013671875
1716557800674922500,0.753922607421875,0.3802032470703125,0.074371337890625,0.07208251953125
1716557800685085000,0.7640849609375,0.5154876708984375,0.070098876953125,-0.298614501953125
1716557800695277800,0.77427783203125,0.5655670166015625,0.070098876953125,-0.4914398193359375
1716557800705470700,0.784470703125,0.514434814453125,-0.0470733642578125,-0.5468292236328125
1716557800715633200,0.794633056640625,0.4494476318359375,-0.2079315185546875,-0.54150390625
1716557800725825800,0.80482568359375,0.397247314453125,-0.3900909423828125,-0.5255279541015625
1716557800735988200,0.81498828125,0.3791351318359375,-0.553070068359375,-0.497833251953125
1716557800746181000,0.82518115234375,0.37274169921875,-0.67877197265625,-0.450958251953125
1716557800756343600,0.835343505859375,0.3482513427734375,-0.7799835205078125,-0.4647979736328125
1716557800766505700,0.845505615234375,0.3003082275390625,-0.8034210205078125,-0.5255279541015625
1716557800776668200,0.855668212890625,0.250244140625,-0.7203216552734375,-0.56280517578125
1716557800786830600,0.86583056640625,0.22467041015625,-0.590362548828125,-0.5670623779296875
1716557800797023500,0.8760234375,0.2545013427734375,-0.4454803466796875,-0.55322265625
1716557800807185700,0.886185546875,0.25238037109375,-0.3687896728515625,-1.2637481689453125
1716557800817317600,0.896317626953125,0.3258819580078125,0.4184417724609375,-1.1273956298828125
1716557800827480000,0.90647998046875,0.317352294921875,0.6751708984375,-1.13165283203125
1716557800837642200,0.916642333984375,0.2992401123046875,0.80194091796875,-0.846160888671875
1716557800847804700,0.9268046875,0.2225494384765625,0.8115234375,-0.5351104736328125
1716557800857967000,0.936967041015625,0.0840606689453125,0.8061981201171875,-0.2070159912109375
1716557800868129300,0.94712939453125,0.0403900146484375,0.6517333984375,0.0678253173828125
1716557800878261200,0.95726123046875,0.0616912841796875,0.42803955078125,0.27130126953125
1716557800888423700,0.967423583984375,0.09259033203125,0.2597198486328125,0.4321441650390625
1716557800898585900,0.9775859375,0.091522216796875,0.12762451171875,0.57489013671875
1716557800908717800,0.9877177734375,0.0787353515625,-0.007659912109375,0.702728271484375
1716557800918880000,0.9978798828125,0.08831787109375,-0.089691162109375,0.74639892578125
1716557800929012000,1.008011962890625,0.122406005859375,-0.0470733642578125,0.702728271484375
1716557800939174400,1.01817431640625,0.144775390625,0.1031341552734375,0.5610504150390625
1716557800949306000,1.02830615234375,0.133056640625,0.27569580078125,0.3639678955078125
